destination_id,destination_province,"max_AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",max_COMERCIO,max_EXPLOTACIÓN DE MINAS Y CANTERAS,max_INDUSTRIA MANUFACTURERA,max_PESCA,max_TRANSPORTE Y COMUNICACIONES,max_total_tons,"min_AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",min_COMERCIO,min_EXPLOTACIÓN DE MINAS Y CANTERAS,min_INDUSTRIA MANUFACTURERA,min_PESCA,min_TRANSPORTE Y COMUNICACIONES,min_total_tons,origin_id,origin_province
watern_14,Buenos Aires,0.0,0.0,0.0,5500.0,0.0,0.0,5500.0,0.0,0.0,0.0,3905.0,0.0,0.0,3905.0,watern_0,Buenos Aires
watern_18,Buenos Aires,0.0,0.0,0.0,12500.0,0.0,0.0,12500.0,0.0,0.0,0.0,8800.0,0.0,0.0,8800.0,watern_0,Buenos Aires
watern_33,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,7446.0,0.0,0.0,7446.0,0.0,0.0,0.0,7446.0,0.0,0.0,7446.0,watern_0,Buenos Aires
watern_51,Santa Cruz,0.0,0.0,0.0,5860.0,0.0,0.0,5860.0,0.0,0.0,0.0,5860.0,0.0,0.0,5860.0,watern_0,Buenos Aires
watern_69,Santa Fe,0.0,0.0,0.0,12370.0,0.0,0.0,12370.0,0.0,0.0,0.0,8150.0,0.0,0.0,8150.0,watern_0,Buenos Aires
watern_7,Buenos Aires,0.0,0.0,0.0,34580.0,0.0,6.0,34586.0,0.0,0.0,0.0,25270.0,0.0,6.0,25276.0,watern_0,Buenos Aires
watern_75,Santa Fe,0.0,0.0,0.0,7000.0,0.0,0.0,7000.0,0.0,0.0,0.0,7000.0,0.0,0.0,7000.0,watern_0,Buenos Aires
watern_90,Rest of World,361800.0,0.0,9417.0,67067.0,0.0,0.0,438284.0,94700.0,0.0,9417.0,46330.0,0.0,0.0,150447.0,watern_0,Buenos Aires
watern_98,Rest of World,55176.0,0.0,0.0,113.0,0.0,0.0,55289.0,32320.0,0.0,0.0,113.0,0.0,0.0,32433.0,watern_0,Buenos Aires
watern_2,Buenos Aires,0.0,0.0,0.0,2250.0,0.0,0.0,2250.0,0.0,0.0,0.0,2250.0,0.0,0.0,2250.0,watern_1,Buenos Aires
watern_90,Rest of World,0.0,0.0,0.0,8744.75,0.0,0.0,8744.75,0.0,0.0,0.0,2895.0,0.0,0.0,2895.0,watern_1,Buenos Aires
watern_91,Rest of World,0.0,0.0,0.0,23236.0,0.0,0.0,23236.0,0.0,0.0,0.0,1645.5,0.0,0.0,1645.5,watern_1,Buenos Aires
watern_90,Rest of World,49510.0,0.0,0.0,2625.0,0.0,0.0,52135.0,49510.0,0.0,0.0,495.0,0.0,0.0,50005.0,watern_10,Buenos Aires
watern_7,Buenos Aires,0.0,0.0,0.0,6756.0,0.0,0.0,6756.0,0.0,0.0,0.0,6750.0,0.0,0.0,6750.0,watern_11,Buenos Aires
watern_18,Buenos Aires,0.0,0.0,0.0,16275.0,0.0,0.0,16275.0,0.0,0.0,0.0,9051.0,0.0,0.0,9051.0,watern_110,Rest of World
watern_19,Buenos Aires,1180.0,0.0,0.0,0.0,0.0,0.0,1180.0,830.0,0.0,0.0,0.0,0.0,0.0,830.0,watern_110,Rest of World
watern_23,Buenos Aires,27000.0,0.0,0.0,0.0,0.0,0.0,27000.0,27000.0,0.0,0.0,0.0,0.0,0.0,27000.0,watern_110,Rest of World
watern_6,Buenos Aires,0.0,0.0,10500.0,0.0,0.0,0.0,10500.0,0.0,0.0,10500.0,0.0,0.0,0.0,10500.0,watern_110,Rest of World
watern_33,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,3855.0,0.0,0.0,3855.0,0.0,0.0,0.0,3855.0,0.0,0.0,3855.0,watern_115,Rest of World
watern_7,Buenos Aires,0.0,0.0,0.0,624.0,0.0,0.0,624.0,0.0,0.0,0.0,610.0,0.0,0.0,610.0,watern_12,Buenos Aires
watern_86,Tierra del Fuego,0.0,0.0,10075.585,0.0,0.0,0.0,10075.585,0.0,0.0,10075.585,0.0,0.0,0.0,10075.585,watern_12,Buenos Aires
