origin_province,destination_province,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",COMERCIO,TRANSPORTE Y COMUNICACIONES,INDUSTRIA MANUFACTURERA,EXPLOTACIÓN DE MINAS Y CANTERAS,PESCA,total_tons
Buenos Aires,Buenos Aires,35100.0,303.0,32012.0,436286.0,69160.0,0.0,572861.0
Buenos Aires,Chaco,0.0,0.0,0.0,18669.0,0.0,0.0,18669.0
Buenos Aires,Chubut,0.0,0.0,0.0,12436.0,36481.0,0.0,48917.0
Buenos Aires,Ciudad Autónoma de Buenos Aires,0.0,3525.0,0.0,74990.0,0.0,0.0,78515.0
Buenos Aires,Entre Ríos,33000.0,0.0,0.0,15738.0,0.0,0.0,48738.0
Buenos Aires,Rest of World,6745960.0,1503.0,0.0,3996435.25,42917.0,0.0,10786815.25
Buenos Aires,Santa Cruz,0.0,0.0,0.0,8076.0,0.0,4.3,8080.3
Buenos Aires,Santa Fe,122049.0,0.0,35.0,491146.07700000005,2483.0,0.0,615713.077
Buenos Aires,Tierra del Fuego,0.0,0.0,0.0,12900.0,11391.585,0.0,24291.585
Chaco,Rest of World,1411.0,0.0,0.0,0.0,0.0,0.0,1411.0
Chaco,Santa Fe,54705.64,0.0,0.0,0.0,0.0,0.0,54705.64
Chubut,Buenos Aires,0.0,0.0,0.0,9100.0,10500.0,0.0,19600.0
Chubut,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,159.0,0.0,0.0,159.0
Chubut,Rest of World,0.0,0.0,0.0,10731.550000000001,0.0,0.0,10731.550000000001
Chubut,Santa Cruz,0.0,0.0,0.0,0.0,0.0,12.0,12.0
Chubut,Santa Fe,0.0,0.0,0.0,48060.0,0.0,0.0,48060.0
Ciudad Autónoma de Buenos Aires,Buenos Aires,87899.0,300.0,0.0,65312.899999999994,12317.0,0.0,165828.9
Ciudad Autónoma de Buenos Aires,Chubut,0.0,0.0,0.0,0.0,0.0,97.5,97.5
Ciudad Autónoma de Buenos Aires,Entre Ríos,0.0,0.0,0.0,1050.0,0.0,0.0,1050.0
Ciudad Autónoma de Buenos Aires,Santa Cruz,0.0,0.0,0.0,31.0,0.0,0.0,31.0
Ciudad Autónoma de Buenos Aires,Santa Fe,0.0,0.0,0.0,7446.0,0.0,0.0,7446.0
Entre Ríos,Buenos Aires,90850.0,0.0,0.0,2412.0,0.0,0.0,93262.0
Entre Ríos,Entre Ríos,19350.18,0.0,0.0,0.0,0.0,0.0,19350.18
Entre Ríos,Rest of World,259270.18,0.0,0.0,0.0,0.0,0.0,259270.18
Entre Ríos,Santa Fe,34448.0,0.0,0.0,0.0,0.0,0.0,34448.0
Rest of World,Buenos Aires,474310.0,17201.5,55281.0,3252145.2,987228.0,29349.03999999998,4815514.74
Rest of World,Chaco,0.0,0.0,0.0,41840.0,0.0,0.0,41840.0
Rest of World,Chubut,0.0,0.0,0.0,50260.0,0.0,7138.954,57398.954000000005
Rest of World,Ciudad Autónoma de Buenos Aires,0.0,547.0,0.0,4377.0,0.0,0.0,4924.0
Rest of World,Entre Ríos,142820.0,0.0,0.0,0.0,33174.0,0.0,175994.0
Rest of World,Río Negro,0.0,0.0,0.0,0.0,0.0,154.0,154.0
Rest of World,Santa Cruz,0.0,0.0,0.0,709.0,0.0,5786.2,6495.2
Rest of World,Santa Fe,234110.0,0.0,0.0,241413.5,493475.0,0.0,968998.5
Rest of World,Tierra del Fuego,1357.0,0.0,0.0,126.0,29350.0,458.0,31291.0
Río Negro,Rest of World,348.0,0.0,0.0,45.0,0.0,0.0,393.0
Santa Cruz,Buenos Aires,0.0,0.0,0.0,18.0,36481.0,0.0,36499.0
Santa Cruz,Chubut,0.0,0.0,0.0,57.0,0.0,131.5,188.5
Santa Cruz,Rest of World,0.0,0.0,0.0,6754.0,0.0,0.0,6754.0
Santa Cruz,Santa Cruz,0.0,0.0,0.0,242.0,0.0,0.0,242.0
Santa Cruz,Tierra del Fuego,0.0,0.0,0.0,25.0,0.0,0.0,25.0
Santa Fe,Buenos Aires,20728.0,0.0,35.0,183870.0,18883.0,0.0,223516.0
Santa Fe,Chaco,0.0,0.0,0.0,115028.0,0.0,0.0,115028.0
Santa Fe,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,13152.0,0.0,0.0,13152.0
Santa Fe,Entre Ríos,33000.0,0.0,0.0,0.0,0.0,0.0,33000.0
Santa Fe,Rest of World,20334189.009999998,0.0,420.0,1571185.0,0.0,0.0,21905794.009999998
Santa Fe,Santa Fe,1362276.0,0.0,0.0,95486.0,0.0,0.0,1457762.0
Tierra del Fuego,Buenos Aires,0.0,0.0,0.0,4613.0,12982.0,0.0,17595.0
Tierra del Fuego,Chubut,0.0,0.0,0.0,0.0,10075.585,0.0,10075.585
Tierra del Fuego,Santa Cruz,0.0,0.0,0.0,5.0,0.0,0.0,5.0
Tierra del Fuego,Santa Fe,0.0,0.0,0.0,0.0,29350.0,0.0,29350.0
