destination_id,destination_province,"max_AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",max_COMERCIO,max_EXPLOTACIÓN DE MINAS Y CANTERAS,max_INDUSTRIA MANUFACTURERA,max_TRANSPORTE Y COMUNICACIONES,max_total_tons,"min_AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",min_COMERCIO,min_EXPLOTACIÓN DE MINAS Y CANTERAS,min_INDUSTRIA MANUFACTURERA,min_TRANSPORTE Y COMUNICACIONES,min_total_tons,origin_id,origin_province
railn_1289,Santa Fe,3240.0,0.0,0.0,0.0,0.0,3240.0,2611.0,0.0,0.0,0.0,0.0,2611.0,railn_1007,Santa Fe
railn_1946,Santa Fe,3984.0,0.0,0.0,0.0,0.0,3984.0,3297.0,0.0,0.0,0.0,0.0,3297.0,railn_1007,Santa Fe
railn_1010,Santa Fe,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,150.0,railn_1008,Santa Fe
railn_1289,Santa Fe,973.0,0.0,0.0,0.0,0.0,973.0,973.0,0.0,0.0,0.0,0.0,973.0,railn_1025,Tucumán
railn_1849,Ciudad Autónoma de Buenos Aires,650.0,0.0,0.0,0.0,0.0,650.0,138.0,0.0,0.0,0.0,0.0,138.0,railn_1043,Jujuy
railn_1069,Chaco,0.0,0.0,0.0,542.0,0.0,542.0,0.0,0.0,0.0,520.0,0.0,520.0,railn_1052,Jujuy
railn_1262,Tucumán,0.0,0.0,0.0,540.0,0.0,540.0,0.0,0.0,0.0,451.0,0.0,451.0,railn_1052,Jujuy
railn_1923,Buenos Aires,594.0,0.0,0.0,0.0,0.0,594.0,110.0,0.0,0.0,0.0,0.0,110.0,railn_1055,Tucumán
railn_1963,Santiago del Estero,0.0,118.0,0.0,0.0,0.0,118.0,0.0,118.0,0.0,0.0,0.0,118.0,railn_1055,Tucumán
railn_2285,Santa Fe,0.0,113.5,0.0,0.0,0.0,113.5,0.0,113.5,0.0,0.0,0.0,113.5,railn_1055,Tucumán
railn_230,Santa Fe,0.0,590.0,0.0,0.0,0.0,590.0,0.0,206.5,0.0,0.0,0.0,206.5,railn_1055,Tucumán
railn_432,Buenos Aires,591.3,3757.0,0.0,0.0,0.0,4348.3,59.4,582.0,0.0,0.0,0.0,641.4,railn_1055,Tucumán
railn_881,Ciudad Autónoma de Buenos Aires,0.0,978.5,0.0,829.4599999999999,0.0,1807.96,0.0,311.0,0.0,756.05,0.0,1067.05,railn_1055,Tucumán
railn_1060,Jujuy,0.0,0.0,0.0,518.0,0.0,518.0,0.0,0.0,0.0,225.0,0.0,225.0,railn_1069,Chaco
railn_1201,Santa Fe,261.0,0.0,0.0,0.0,0.0,261.0,204.0,0.0,0.0,0.0,0.0,204.0,railn_1069,Chaco
railn_1849,Ciudad Autónoma de Buenos Aires,717.0,0.0,0.0,238.0,0.0,955.0,206.0,0.0,0.0,142.0,0.0,348.0,railn_1069,Chaco
railn_1682,Buenos Aires,3170.58,0.0,0.0,0.0,0.0,3170.58,439.69,0.0,0.0,0.0,0.0,439.69,railn_109,La Pampa
railn_1289,Santa Fe,1052.0,0.0,0.0,0.0,0.0,1052.0,1052.0,0.0,0.0,0.0,0.0,1052.0,railn_1099,Chaco
railn_1289,Santa Fe,4813.0,0.0,0.0,0.0,0.0,4813.0,3206.0,0.0,0.0,0.0,0.0,3206.0,railn_1103,Chaco
railn_1335,Chaco,0.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,30.0,railn_1103,Chaco
railn_1371,Salta,0.0,0.0,0.0,350.0,0.0,350.0,0.0,0.0,0.0,350.0,0.0,350.0,railn_1103,Chaco
railn_1289,Santa Fe,1302.0,0.0,0.0,0.0,0.0,1302.0,965.0,0.0,0.0,0.0,0.0,965.0,railn_1104,Salta
railn_1946,Santa Fe,1070.0,0.0,0.0,0.0,0.0,1070.0,1070.0,0.0,0.0,0.0,0.0,1070.0,railn_1104,Salta
railn_1289,Santa Fe,2581.0,0.0,0.0,0.0,0.0,2581.0,1613.0,0.0,0.0,0.0,0.0,1613.0,railn_1105,Salta
railn_1946,Santa Fe,1320.0,0.0,0.0,0.0,0.0,1320.0,1320.0,0.0,0.0,0.0,0.0,1320.0,railn_1105,Salta
railn_1289,Santa Fe,2345.0,0.0,0.0,0.0,0.0,2345.0,2229.0,0.0,0.0,0.0,0.0,2229.0,railn_1106,Salta
railn_1203,Santa Fe,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,150.0,railn_1107,Salta
railn_1371,Salta,0.0,0.0,0.0,465.0,0.0,465.0,0.0,0.0,0.0,465.0,0.0,465.0,railn_1108,Chaco
railn_1203,Santa Fe,0.0,0.0,0.0,720.0,0.0,720.0,0.0,0.0,0.0,303.0,0.0,303.0,railn_1112,Santiago del Estero
railn_1205,Santa Fe,557.0,0.0,0.0,0.0,0.0,557.0,472.0,0.0,0.0,0.0,0.0,472.0,railn_1117,Jujuy
railn_1849,Ciudad Autónoma de Buenos Aires,1077.0,0.0,0.0,0.0,0.0,1077.0,472.0,0.0,0.0,0.0,0.0,472.0,railn_1117,Jujuy
railn_995,Mendoza,534.0,0.0,0.0,0.0,0.0,534.0,467.0,0.0,0.0,0.0,0.0,467.0,railn_1117,Jujuy
railn_1939,Buenos Aires,0.0,0.0,2028.98,0.0,0.0,2028.98,0.0,0.0,1483.54,0.0,0.0,1483.54,railn_112,Córdoba
railn_1178,Buenos Aires,0.0,0.0,0.0,473.0,0.0,473.0,0.0,0.0,0.0,444.0,0.0,444.0,railn_1121,Salta
railn_1849,Ciudad Autónoma de Buenos Aires,553.0,0.0,0.0,0.0,0.0,553.0,46.0,0.0,0.0,0.0,0.0,46.0,railn_1141,Salta
railn_1137,Salta,0.0,0.0,0.0,780.0,0.0,780.0,0.0,0.0,0.0,780.0,0.0,780.0,railn_1142,Salta
railn_1201,Santa Fe,1200.0,0.0,0.0,0.0,0.0,1200.0,498.0,0.0,0.0,0.0,0.0,498.0,railn_1150,Salta
railn_1289,Santa Fe,1387.0,0.0,0.0,0.0,0.0,1387.0,1115.0,0.0,0.0,0.0,0.0,1115.0,railn_1150,Salta
railn_1946,Santa Fe,1302.0,0.0,0.0,0.0,0.0,1302.0,916.0,0.0,0.0,0.0,0.0,916.0,railn_1150,Salta
railn_766,Santiago del Estero,1605.0,0.0,0.0,0.0,0.0,1605.0,424.0,0.0,0.0,0.0,0.0,424.0,railn_1150,Salta
railn_1289,Santa Fe,2399.0,0.0,0.0,0.0,0.0,2399.0,2220.0,0.0,0.0,0.0,0.0,2220.0,railn_1152,Salta
railn_1946,Santa Fe,1175.0,0.0,0.0,0.0,0.0,1175.0,1124.0,0.0,0.0,0.0,0.0,1124.0,railn_1152,Salta
railn_1832,Buenos Aires,520.0,0.0,0.0,0.0,0.0,520.0,520.0,0.0,0.0,0.0,0.0,520.0,railn_1184,Salta
railn_1386,Santa Fe,6326.280000000001,0.0,0.0,0.0,0.0,6326.280000000001,3926.26,0.0,0.0,0.0,0.0,3926.26,railn_120,Buenos Aires
railn_1682,Buenos Aires,7427.26,0.0,0.0,0.0,0.0,7427.26,2840.2,0.0,0.0,0.0,0.0,2840.2,railn_120,Buenos Aires
railn_1069,Chaco,0.0,0.0,0.0,260.0,0.0,260.0,0.0,0.0,0.0,200.0,0.0,200.0,railn_1201,Santa Fe
railn_1289,Santa Fe,1197.0,0.0,0.0,0.0,0.0,1197.0,1197.0,0.0,0.0,0.0,0.0,1197.0,railn_1201,Santa Fe
railn_1207,Santa Fe,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0,750.0,railn_1203,Santa Fe
railn_1946,Santa Fe,1068.0,0.0,0.0,0.0,0.0,1068.0,1068.0,0.0,0.0,0.0,0.0,1068.0,railn_1203,Santa Fe
railn_1203,Santa Fe,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0,750.0,railn_1207,Santa Fe
railn_1386,Santa Fe,4073.15,0.0,0.0,0.0,0.0,4073.15,1711.79,0.0,0.0,0.0,0.0,1711.79,railn_122,Buenos Aires
railn_1682,Buenos Aires,4583.34,0.0,0.0,0.0,0.0,4583.34,1237.34,0.0,0.0,0.0,0.0,1237.34,railn_122,Buenos Aires
railn_1289,Santa Fe,2061.0,0.0,0.0,0.0,0.0,2061.0,1896.0,0.0,0.0,0.0,0.0,1896.0,railn_1236,Catamarca
railn_1946,Santa Fe,1987.0,0.0,0.0,0.0,0.0,1987.0,1739.0,0.0,0.0,0.0,0.0,1739.0,railn_1236,Catamarca
railn_1386,Santa Fe,967.04,0.0,0.0,0.0,0.0,967.04,967.04,0.0,0.0,0.0,0.0,967.04,railn_124,Buenos Aires
railn_1682,Buenos Aires,519.18,0.0,0.0,0.0,0.0,519.18,250.82,0.0,0.0,0.0,0.0,250.82,railn_124,Buenos Aires
railn_1182,Buenos Aires,0.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,300.0,railn_1258,Córdoba
railn_1207,Santa Fe,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0,750.0,0.0,0.0,750.0,railn_1258,Córdoba
railn_1289,Santa Fe,1302.0,0.0,0.0,0.0,0.0,1302.0,1200.0,0.0,0.0,0.0,0.0,1200.0,railn_1258,Córdoba
railn_1946,Santa Fe,1317.0,0.0,0.0,0.0,0.0,1317.0,1317.0,0.0,0.0,0.0,0.0,1317.0,railn_1258,Córdoba
railn_2285,Santa Fe,3041.38,0.0,0.0,0.0,0.0,3041.38,3041.38,0.0,0.0,0.0,0.0,3041.38,railn_126,Córdoba
railn_1289,Santa Fe,5861.0,0.0,0.0,0.0,0.0,5861.0,3859.0,0.0,0.0,0.0,0.0,3859.0,railn_1263,Córdoba
railn_1946,Santa Fe,2664.0,0.0,0.0,0.0,0.0,2664.0,2429.0,0.0,0.0,0.0,0.0,2429.0,railn_1263,Córdoba
railn_1849,Ciudad Autónoma de Buenos Aires,701.0,0.0,0.0,0.0,0.0,701.0,701.0,0.0,0.0,0.0,0.0,701.0,railn_1269,Tucumán
railn_1929,Santa Fe,3016.81,0.0,0.0,0.0,0.0,3016.81,1515.02,0.0,0.0,0.0,0.0,1515.02,railn_128,Córdoba
railn_1946,Santa Fe,4571.68,0.0,0.0,0.0,0.0,4571.68,4553.5199999999995,0.0,0.0,0.0,0.0,4553.5199999999995,railn_128,Córdoba
railn_2285,Santa Fe,1526.32,0.0,0.0,0.0,0.0,1526.32,1461.74,0.0,0.0,0.0,0.0,1461.74,railn_128,Córdoba
railn_2379,Santa Fe,3016.24,0.0,0.0,0.0,0.0,3016.24,2995.54,0.0,0.0,0.0,0.0,2995.54,railn_128,Córdoba
railn_674,Santa Fe,1604.32,0.0,0.0,0.0,0.0,1604.32,1591.98,0.0,0.0,0.0,0.0,1591.98,railn_1289,Santa Fe
railn_1386,Santa Fe,6339.530000000001,0.0,0.0,0.0,0.0,6339.530000000001,3832.2700000000004,0.0,0.0,0.0,0.0,3832.2700000000004,railn_129,Buenos Aires
railn_1682,Buenos Aires,9064.140000000001,0.0,0.0,0.0,0.0,9064.140000000001,3358.46,0.0,0.0,0.0,0.0,3358.46,railn_129,Buenos Aires
railn_1682,Buenos Aires,1007.74,0.0,0.0,0.0,0.0,1007.74,217.26,0.0,0.0,0.0,0.0,217.26,railn_1332,Buenos Aires
railn_1712,Río Negro,0.0,0.0,1938.08,0.0,0.0,1938.08,0.0,0.0,162.11,0.0,0.0,162.11,railn_1333,Buenos Aires
railn_1103,Chaco,0.0,0.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,31.0,0.0,31.0,railn_1335,Chaco
railn_1289,Santa Fe,3793.0,0.0,0.0,0.0,0.0,3793.0,2059.0,0.0,0.0,0.0,0.0,2059.0,railn_1335,Chaco
railn_1946,Santa Fe,3274.0,0.0,0.0,0.0,0.0,3274.0,1672.0,0.0,0.0,0.0,0.0,1672.0,railn_1335,Chaco
railn_1289,Santa Fe,3047.0,0.0,0.0,0.0,0.0,3047.0,1464.0,0.0,0.0,0.0,0.0,1464.0,railn_1336,Chaco
railn_1946,Santa Fe,2567.0,0.0,0.0,0.0,0.0,2567.0,1165.0,0.0,0.0,0.0,0.0,1165.0,railn_1336,Chaco
railn_1289,Santa Fe,2359.0,0.0,0.0,0.0,0.0,2359.0,2068.0,0.0,0.0,0.0,0.0,2068.0,railn_1339,Chaco
railn_1946,Santa Fe,2384.0,0.0,0.0,0.0,0.0,2384.0,1952.0,0.0,0.0,0.0,0.0,1952.0,railn_1339,Chaco
railn_970,La Rioja,0.0,0.0,0.0,448.0,0.0,448.0,0.0,0.0,0.0,320.0,0.0,320.0,railn_1339,Chaco
railn_1289,Santa Fe,3567.0,0.0,0.0,0.0,0.0,3567.0,2103.0,0.0,0.0,0.0,0.0,2103.0,railn_1344,Chaco
railn_1946,Santa Fe,1265.0,0.0,0.0,0.0,0.0,1265.0,1140.0,0.0,0.0,0.0,0.0,1140.0,railn_1344,Chaco
railn_177,Buenos Aires,0.0,0.0,0.0,1597.12,0.0,1597.12,0.0,0.0,0.0,208.08,0.0,208.08,railn_135,Córdoba
railn_1893,Córdoba,0.0,0.0,1651.02,0.0,0.0,1651.02,0.0,0.0,1302.14,0.0,0.0,1302.14,railn_135,Córdoba
railn_1920,Buenos Aires,0.0,0.0,0.0,1526.08,0.0,1526.08,0.0,0.0,0.0,1360.9,0.0,1360.9,railn_135,Córdoba
railn_1923,Buenos Aires,0.0,0.0,0.0,1905.36,0.0,1905.36,0.0,0.0,0.0,56.7,0.0,56.7,railn_135,Córdoba
railn_1929,Santa Fe,0.0,0.0,0.0,1546.15,0.0,1546.15,0.0,0.0,0.0,1243.48,0.0,1243.48,railn_135,Córdoba
railn_1939,Buenos Aires,0.0,0.0,0.0,1581.68,0.0,1581.68,0.0,0.0,0.0,1120.85,0.0,1120.85,railn_135,Córdoba
railn_230,Santa Fe,0.0,0.0,0.0,54.2,0.0,54.2,0.0,0.0,0.0,54.2,0.0,54.2,railn_135,Córdoba
railn_71,Buenos Aires,0.0,0.0,0.0,1698.48,0.0,1698.48,0.0,0.0,0.0,1478.49,0.0,1478.49,railn_135,Córdoba
railn_1107,Salta,0.0,0.0,510.0,0.0,0.0,510.0,0.0,0.0,450.0,0.0,0.0,450.0,railn_1383,Catamarca
railn_120,Buenos Aires,652.62,0.0,0.0,0.0,0.0,652.62,652.62,0.0,0.0,0.0,0.0,652.62,railn_1386,Santa Fe
railn_1682,Buenos Aires,251.23,0.0,0.0,0.0,0.0,251.23,50.25,0.0,0.0,0.0,0.0,50.25,railn_1394,Buenos Aires
railn_1386,Santa Fe,552.13,0.0,0.0,0.0,0.0,552.13,488.7,0.0,0.0,0.0,0.0,488.7,railn_1405,Santa Fe
