origin_province,destination_province,INDUSTRIA MANUFACTURERA,"AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",PESCA,EXPLOTACIÓN DE MINAS Y CANTERAS,total_tons
Buenos Aires,Buenos Aires,28712270.45354824,34156525.29667104,333716.5274125586,36319182.446840234,99521694.72447394
Buenos Aires,Catamarca,29188.855132302855,2540.62129965601,36.60344064608253,206367.0937013625,238133.173573967
Buenos Aires,Chaco,158973.79491171852,9018.716952467537,7397.478234351399,153618.30533289764,329008.2954314322
Buenos Aires,Chubut,465647.05560689425,20879.078857318684,27215.000000000044,930445.9323257107,1444187.0667899367
Buenos Aires,Ciudad Autónoma de Buenos Aires,4931765.582567594,906699.9013861587,74508.99895752704,7916520.507266985,13829494.99017827
Buenos Aires,Corrientes,540041.2470610655,111126.31143686606,41211.99309895212,210781.09909680873,903160.6506936864
Buenos Aires,Córdoba,1172268.960685614,462952.52627693675,4761.924917484862,1425756.9847573552,3065740.396637413
Buenos Aires,Entre Ríos,634117.330647539,658385.6803432016,10089.478899641308,318044.24890469183,1620636.7387950716
Buenos Aires,Formosa,164425.14481232862,5689.989515007731,3730.1067272801656,72351.02462086086,246196.2656754776
Buenos Aires,Jujuy,28334.62825232362,6442.172765328968,6225.999999999999,333499.9840160086,374502.7850336609
Buenos Aires,La Pampa,209837.49154353284,239616.33950228116,0.0,83566.16642593115,533019.9974717469
Buenos Aires,La Rioja,24359.437281930805,1347.0368046810208,0.0,129015.79325275325,154722.26733936573
Buenos Aires,Mendoza,1552017.0111763864,38538.7784361745,7775.0,596320.9572379572,2194651.7468505134
Buenos Aires,Misiones,3440867.7788144955,50138.83242120453,21460.169537085425,192510.00963542087,3704976.7904081875
Buenos Aires,Neuquén,380414.1260679935,30043.999999999996,0.0,447569.5141494261,858027.6402174165
Buenos Aires,Río Negro,537232.9166855279,42425.34121386087,0.0,487533.9006649279,1067192.158564327
Buenos Aires,Salta,221035.9597732191,20345.064622461778,10835.000000000018,1013112.9654384233,1265328.9898341026
Buenos Aires,San Juan,448762.29828476545,1179.6919322054925,0.0,328450.8942309546,778392.8844479208
Buenos Aires,San Luis,100073.15134994575,15430.599700153596,0.0,399139.37278235325,514643.12383244495
Buenos Aires,Santa Cruz,258989.34873947065,11674.347595232843,0.0,667165.7505858516,937829.4469205616
Buenos Aires,Santa Fe,3988102.053370588,7765823.377632205,29500.7354879254,1446726.6460935962,13230152.812584441
Buenos Aires,Santiago del Estero,214000.9298382163,8149.749669502956,7286.396559353906,199851.21917674135,429288.2952438169
Buenos Aires,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",103383.9891242698,3420.0,0.0,323286.3754038392,430090.3645281091
Buenos Aires,Tucumán,748002.2124205354,20665.983325948913,6225.0,324145.73365267256,1099038.9293991718
Catamarca,Buenos Aires,0.0,12425.717574623624,0.0,84981.83432763103,97407.55190225443
Catamarca,Catamarca,225849.8841680462,78896.55662853946,0.0,902907.9747299617,1207654.4155265437
Catamarca,Chaco,37697.00000000002,2072.789111314855,0.0,800.1839215570968,40569.97303287194
Catamarca,Chubut,0.0,1097.5198447725165,0.0,181.2236356731255,1278.7434804456434
