text,lon,lat,size
Misiones,-54.65170413,-26.87539999,8
San Luis,-66.02812982,-33.75772574,8
San Juan,-68.88949085,-30.865368,8
Entre Ríos,-59.20144755,-32.05887354,8
Santa Cruz,-69.95576217,-48.81548518,8
Río Negro,-67.22932989,-40.40579572,8
Chubut,-68.52675939,-43.78862335,8
Córdoba,-63.80175327,-32.14293266,8
Mendoza,-68.58312282,-34.62988731,8
La Rioja,-67.18173597,-29.6857763,8
Catamarca,-66.94768236,-27.33583461,8
La Pampa,-65.44665466,-37.13155377,8
Santiago del Estero,-63.25238666,-27.78241166,8
Corrientes,-57.80121921,-28.77430471,8
Santa Fe,-60.94983694,-30.70692716,8
Tucumán,-65.36475794,-26.94780018,8
Neuquén,-70.11857052,-38.64175758,8
Salta,-64.81447191,-24.29917093,8
Chaco,-60.76583074,-26.38643091,8
Formosa,-59.93244058,-24.89497259,8
Jujuy,-65.76411004,-23.32009472,8
Ciudad Autónoma,-58.44585635,-34.61,8
de Buenos Aires,-58.44585635,-35.11,8
Buenos Aires,-60.55883198,-36.67694152,8
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",-60.41,-53.94,8
