year,sector,region,region,gdp
2016,secK,Buenos_Aires,Buenos_Aires,329.7230847363823
2016,secK,Buenos_Aires,Catamarca,0.00033918400575636215
2016,secK,Buenos_Aires,Chaco,0.0013697084945326035
2016,secK,Buenos_Aires,Chubut,0.018931926779556612
2016,secK,Buenos_Aires,Ciudad_de_Buenos_Aires,19.132451116479405
2016,secK,Buenos_Aires,Corrientes,0.0027852264125197072
2016,secK,Buenos_Aires,Cordoba,0.5416304149443315
2016,secK,Buenos_Aires,Entre_Rios,0.02604854570269818
2016,secK,Buenos_Aires,Formosa,0.00014407711995647203
2016,secK,Buenos_Aires,Jujuy,0.0006376598710245356
2016,secK,Buenos_Aires,La_Pampa,0.0010409335080310248
2016,secK,Buenos_Aires,La_Rioja,0.00016342235202438483
2016,secK,Buenos_Aires,Mendoza,0.09246292495620347
2016,secK,Buenos_Aires,Misiones,0.012883755546255496
2016,secK,Buenos_Aires,Neuquen,0.02093517036260141
2016,secK,Buenos_Aires,Rio_Negro,0.006259040678907193
2016,secK,Buenos_Aires,Salta,0.008831558976407063
2016,secK,Buenos_Aires,San_Juan,0.002062071993787517
2016,secK,Buenos_Aires,San_Luis,0.0021764836672414785
2016,secK,Buenos_Aires,Santa_Cruz,0.005513400526227115
2016,secK,Buenos_Aires,Santa_Fe,3.2096800897411373
2016,secK,Buenos_Aires,Santiago_del_Estero,0.0011106424525872255
2016,secK,Buenos_Aires,Tierra_del_Fuego,0.0007835340114379323
2016,secK,Buenos_Aires,Tucuman,0.00836074254754645
2016,secK,Catamarca,Buenos_Aires,0.005106451937840696
2016,secK,Catamarca,Catamarca,0.06356074563550923
2016,secK,Catamarca,Chaco,0.0021278102177579926
2016,secK,Catamarca,Chubut,6.705775319275338e-05
2016,secK,Catamarca,Ciudad_de_Buenos_Aires,0.0010304993452656232
2016,secK,Catamarca,Corrientes,0.00011688167130978723
2016,secK,Catamarca,Cordoba,0.005777298450750695
2016,secK,Catamarca,Entre_Rios,0.0001606934285508833
2016,secK,Catamarca,Formosa,0.0027841689508830104
2016,secK,Catamarca,Jujuy,0.0058764537491672875
2016,secK,Catamarca,La_Pampa,2.3196865803964706e-05
2016,secK,Catamarca,La_Rioja,0.005277407847960493
2016,secK,Catamarca,Mendoza,0.013170115520361212
2016,secK,Catamarca,Misiones,0.00032848602277789785
2016,secK,Catamarca,Neuquen,1.2061275916363898e-05
2016,secK,Catamarca,Rio_Negro,2.2221384350074143e-05
2016,secK,Catamarca,Salta,0.07152482944689796
2016,secK,Catamarca,San_Juan,0.0005885378243884858
2016,secK,Catamarca,San_Luis,0.0005618390364603539
2016,secK,Catamarca,Santa_Cruz,4.352547395905227e-06
2016,secK,Catamarca,Santa_Fe,0.0031789249008803418
2016,secK,Catamarca,Santiago_del_Estero,0.015288535647278225
2016,secK,Catamarca,Tierra_del_Fuego,2.989098814055399e-06
2016,secK,Catamarca,Tucuman,0.02563721983276319
2016,secK,Chaco,Buenos_Aires,0.24346550110190188
2016,secK,Chaco,Catamarca,1.8580830313690136e-05
2016,secK,Chaco,Chaco,0.0918892835236537
2016,secK,Chaco,Chubut,0.002954873215650258
2016,secK,Chaco,Ciudad_de_Buenos_Aires,0.07607370066408493
2016,secK,Chaco,Corrientes,0.005291187100173318
2016,secK,Chaco,Cordoba,0.006111346145227048
2016,secK,Chaco,Entre_Rios,0.03354103407217032
2016,secK,Chaco,Formosa,0.0015428884957860644
2016,secK,Chaco,Jujuy,0.0005534278051005016
2016,secK,Chaco,La_Pampa,1.4280665110646135e-06
2016,secK,Chaco,La_Rioja,0.0009587737517645871
2016,secK,Chaco,Mendoza,0.001677771923351891
2016,secK,Chaco,Misiones,0.01654545551757854
2016,secK,Chaco,Neuquen,3.8590305749251555e-08
2016,secK,Chaco,Rio_Negro,1.3107760363730956e-08
2016,secK,Chaco,Salta,0.0005368208788558839
2016,secK,Chaco,San_Juan,0.00027767522974469025
2016,secK,Chaco,San_Luis,0.0021872085886949235
2016,secK,Chaco,Santa_Cruz,1.0459921345069173e-08
2016,secK,Chaco,Santa_Fe,0.12484157902345501
2016,secK,Chaco,Santiago_del_Estero,0.0024873570020564314
2016,secK,Chaco,Tierra_del_Fuego,4.834263831200966e-05
2016,secK,Chaco,Tucuman,0.0015517274937486298
2016,secK,Chubut,Buenos_Aires,0.4186456378738692
2016,secK,Chubut,Catamarca,1.905819872143957e-05
2016,secK,Chubut,Chaco,0.00038335919196251294
2016,secK,Chubut,Chubut,0.8327332165412668
2016,secK,Chubut,Ciudad_de_Buenos_Aires,0.020629447681627857
2016,secK,Chubut,Corrientes,0.0013096006380709567
2016,secK,Chubut,Cordoba,0.011625943909010264
2016,secK,Chubut,Entre_Rios,0.0020859915100586643
2016,secK,Chubut,Formosa,1.027816787978612e-05
2016,secK,Chubut,Jujuy,0.00014789939156573345
2016,secK,Chubut,La_Pampa,0.008029199960737848
2016,secK,Chubut,La_Rioja,1.5291471842453028e-06
2016,secK,Chubut,Mendoza,0.0019471663756448305
2016,secK,Chubut,Misiones,0.00037839978192578505
2016,secK,Chubut,Neuquen,0.003128934873102183
2016,secK,Chubut,Rio_Negro,0.03412644775003475
2016,secK,Chubut,Salta,0.0013980789688193764
2016,secK,Chubut,San_Juan,0.00015071651827193647
2016,secK,Chubut,San_Luis,0.0029042732942488503
2016,secK,Chubut,Santa_Cruz,0.16698219128654712
2016,secK,Chubut,Santa_Fe,0.11041076270146169
2016,secK,Chubut,Santiago_del_Estero,5.840779095451915e-05
2016,secK,Chubut,Tierra_del_Fuego,0.01472477828671875
2016,secK,Chubut,Tucuman,0.0023632870262592495
2016,secK,Ciudad_de_Buenos_Aires,Buenos_Aires,143.38904471014953
2016,secK,Ciudad_de_Buenos_Aires,Catamarca,0.00044677965254991673
2016,secK,Ciudad_de_Buenos_Aires,Chaco,0.003372238451813988
2016,secK,Ciudad_de_Buenos_Aires,Chubut,0.007448813239232859
2016,secK,Ciudad_de_Buenos_Aires,Ciudad_de_Buenos_Aires,29.457963609442796
2016,secK,Ciudad_de_Buenos_Aires,Corrientes,0.004062109080838353
2016,secK,Ciudad_de_Buenos_Aires,Cordoba,0.5455751776248084
2016,secK,Ciudad_de_Buenos_Aires,Entre_Rios,0.028536765279521727
2016,secK,Ciudad_de_Buenos_Aires,Formosa,0.00012050432392158415
2016,secK,Ciudad_de_Buenos_Aires,Jujuy,0.0020336099640363486
2016,secK,Ciudad_de_Buenos_Aires,La_Pampa,0.00037224909740682236
2016,secK,Ciudad_de_Buenos_Aires,La_Rioja,0.00019758443467191516
